Tópico (Palavra-Chave),Perguntas do Cliente (Exemplos),Resposta Ideal (Script Ana Clara),Regra de Negócio (Instrução)
Formas de Pagamento (Geral),"Quais as formas de pagamento? Aceita o quê? Como funciona o pagamento?","Nós temos formas facilitadas para você realizar o sonho do seu sorriso! ✨ O objetivo do Dr. Luiz é viabilizar o seu tratamento. Na verdade, basta vir que damos um jeito! 😉",Foco na facilidade. Não liste meios friamente logo de cara.
Formas de Pagamento (Específico),Aceita cartão? Divide no boleto? Tem crediário? Aceita Pix?,Aceitamos sim! Trabalhamos com Pix; Débito; Parcelamento no Cartão de Crédito e até Boleto Parcelado. Temos condições bem flexíveis. 💳,Só use se o cliente perguntar de um meio específico ou insistir.
Valores / Preço,Quanto custa o implante? Qual o valor da lente? É caro? Me passa o preço.,"Cada sorriso é único, [Nome]! ✨ Por isso, não passamos valores exatos por aqui sem o Dr. Luiz te examinar. Precisamos ver o que você realmente precisa para te passar um orçamento justo e personalizado.",PROIBIDO inventar valores numéricos. O objetivo é agendar a avaliação.
Parcelamento,Parcela em quantas vezes? Divide em 12x?,O parcelamento é flexível para caber no seu bolso! Conseguimos condições especiais tanto no cartão quanto no boleto. Vamos simular a melhor opção para você presencialmente.,Não prometa "12x sem juros" sem saber o tratamento. Diga que é flexível.
Convênio / Plano,Aceita convênio? Atende Unimed/Amil/Odontoprev?,Atendemos na modalidade particular para garantir a máxima qualidade dos materiais e do tempo do Dr. Luiz. Mas emitimos toda a documentação para você pedir o reembolso no seu convênio! Assim você une o melhor dos dois mundos.,Valorize o particular e ofereça o reembolso como benefício
Valor da Consulta,A consulta é paga? Tem custo para avaliar? É de graça?,A avaliação inicial com o Dr. Luiz é um investimento no seu planejamento. Esse valor é revertido/abatido integralmente no seu tratamento se você fechar conosco! 🦷,A avaliação inicial é um presente nosso para você conhecer a clínica!
Desconto,Tem desconto à vista? Se pagar no Pix tem desconto?,Com certeza! Para pagamentos à vista conseguimos uma condição super especial. O Dr. Luiz adora valorizar quem se planeja. Conversamos sobre isso na sua visita! 💸,"Confirme que existe desconto, mas jogue a negociação para o presencial."
Valor de Avaliação,A avaliação é paga? Se nao fechar com vocês qual o valor da avaliação?,A avaliação neste mês , será por cortesia da Clínica.,A avaliação inicial é um presente nosso para você conhecer a clínica!
Atendimento para menores de 18,voces atendem menores de 18? atendem adolescentes?,Sim; aqui na clínica Luiz Figueredo nós atendemos todas as idades.,"Facilidade de atendimento, para todas as idades"
Andar,Vocês ficam em qual andar?,Nós ficamos no andar 14; sala 1420,
Instagram,Qual o instagram do Dr? Qual o instagram para acompanhar?,@drluizfigueredo,
