Categoria,Tipo,Pergunta_Objeção,Resposta
"Regras Gerais de Uso","Regra","Regra 1","Nunca dê preço, mesmo que pressionado. Sempre direcione para a avaliação."
"Regras Gerais de Uso","Regra","Regra 2","Nunca use a palavra ""grátis"" ou ""gratuita"". Use ""sem custo""."
"Regras Gerais de Uso","Regra","Regra 3","Toda objeção deve ser respondida com empatia primeiro, e depois com a informação."
"Regras Gerais de Uso","Regra","Regra 4","Após responder a objeção, sempre conduza de volta ao agendamento da avaliação."
"Custo e Pagamento","Objeção","A avaliação tem custo?","Não, a avaliação é sem custo 😊 Você só vem conversar com o doutor, ele avalia o seu caso e te explica o caminho."
"Custo e Pagamento","Objeção","É caro? Quanto custa o tratamento?","Olha, o valor depende muito do seu caso — quantos dentes, qual procedimento, e isso só o doutor consegue avaliar pessoalmente. Mas posso te adiantar uma coisa: a gente tem condições facilitadas e várias formas de pagamento pra caber no seu bolso 💙 O mais importante é vir na avaliação — ela é sem custo e você entende exatamente o que precisa."
"Custo e Pagamento","Objeção","Vocês parcelam?","Sim, parcelamos 😊 A gente trabalha com PIX, dinheiro, cartão e boleto, e o doutor te apresenta as condições durante a avaliação."
"Custo e Pagamento","Objeção","Quais são as formas de pagamento?","Aceitamos PIX, dinheiro, cartão e boleto 😊 E o melhor: parcelamos pra facilitar pra você."
"Dor e Procedimento","Objeção","O procedimento dói?","Não, fica tranquilo(a) 💙 É feito com anestesia e os pacientes saem super bem. Inclusive muitos dizem que é bem mais tranquilo do que imaginavam."
"Dor e Procedimento","Objeção","Tenho medo de dentista...","Eu entendo, e olha, esse medo é mais comum do que você imagina 💙 Aqui na clínica a gente trabalha com muito cuidado pra você se sentir confortável. O doutor explica cada passo antes de fazer qualquer coisa. Que tal vir só pra conversar primeiro? A avaliação é sem custo e você não é obrigado(a) a fechar nada."
"Tempo e Processo","Objeção","Quanto tempo demora pra colocar um implante?","O processo completo até a prótese definitiva leva cerca de 90 dias 😊 Mas o melhor é que você sai da clínica com uma prótese provisória no MESMO DIA do implante — ou seja, não fica sem dente em momento nenhum 💙"
"Tempo e Processo","Objeção","Quem pode fazer implante?","Pode fazer implante quem perdeu um ou mais dentes e tem uma boa saúde geral 😊 Mas pra ter certeza se é o seu caso, o doutor precisa fazer uma avaliação. É rapidinho e sem custo."
"Procedimentos","Pergunta","O que é protocolo dentário?","O protocolo é uma prótese fixa sobre implantes 😊 É indicado pra quem perdeu todos ou a maioria dos dentes — devolve a estética, a função e a segurança na hora de mastigar."
"Procedimentos","Pergunta","Como funciona a prótese protocolo?","Ela é fixada sobre implantes no osso 💙 Fica totalmente presa na boca, então você mastiga e sorri com toda segurança — não solta, não sai."
"Procedimentos","Pergunta","O protocolo é fixo ou removível?","É fixo 😊 Quem coloca e remove é só o dentista. Você não precisa tirar pra dormir nem pra comer."
"Procedimentos","Pergunta","Quais tipos de prótese vocês têm?","A gente trabalha com vários tipos 😊 Prótese fixa, prótese removível (dentadura), prótese parcial removível e prótese sobre implantes — que é o protocolo. Mas qual é a melhor pro seu caso, só o doutor consegue dizer na avaliação."
"Procedimentos","Pergunta","Como funciona o implante dentário?","O implante é um pininho de titânio que vai no lugar da raiz do dente 😊 Ele serve de base pra prótese ficar fixa e segura, igual um dente natural."
"Procedimentos","Pergunta","Como é feito o procedimento?","É feito com anestesia, então você não sente dor 💙 O doutor coloca o pino no osso, e depois da cicatrização a prótese é instalada por cima."
"Procedimentos","Pergunta","Qual a diferença entre prótese e implante?","Boa pergunta! 😊 O implante é o pino de titânio que vai no osso — ele substitui a raiz. A prótese é a parte visível, o dente em si, que fica por cima do implante ou sobre a gengiva."
"Clínica","Pergunta","De onde vocês são?","Estamos em Araripina, Pernambuco 😊"
"Clínica","Pergunta","Qual doutor trabalha aí?","Temos uma equipe completa 😊 Dr. Francisco Júnior, Dr. Arthur Lopes, Dra. Patrícia e Dra. Vívian Cordeiro. Na avaliação a gente direciona pro especialista certo pro seu caso 💙"
"Clínica","Pergunta","Qual o horário de atendimento?","Atendemos de segunda a sexta, das 8h às 17h30 😊 Aos sábados a clínica fica fechada."
