Objeção,Gatilhos,Resposta,Detalhe
Preço / Não tenho condições,"é caro, não tenho condições, não posso pagar, tá fora do meu orçamento, sem dinheiro","[nome], entendo essa preocupação 💛 A gente facilita o pagamento e tudo é explicado com calma na avaliação. | Posso reservar seu horário?","O valor é personalizado porque depende do seu caso. Na avaliação o dentista responsável analisa e apresenta as condições. A clínica trabalha com cartão, PIX, boleto, dinheiro e consignado, e PIX e dinheiro têm 5% de desconto."
Avaliação tem custo?,"a avaliação é paga, quanto custa a consulta, tem custo, é gratuita, é grátis","[nome], estamos com a Campanha de Arrecadação de Alimentos 💛 Pedimos a contribuição de 1 alimento não perecível, que vai pra uma instituição beneficente. | Posso ver um horário disponível pra você?","Além de ajudar alguém que precisa, você recebe um atendimento individualizado: o dentista responsável analisa o seu caso com calma, com exame clínico, raio-X e escaneamento digital quando necessário, e define a melhor estratégia sem indicar procedimento desnecessário."
Pergunta direta de valor de tratamento,"quanto custa o implante, qual o valor da prótese, me passa o preço, quanto fica","O valor é personalizado, [nome], porque depende do seu caso 😊 Na avaliação o dentista responsável te apresenta as condições. | Posso reservar um horário pra você?","Cada boca é diferente: quantidade de implante, condição do osso e tipo de prótese mudam tudo. Passar um número pelo WhatsApp seria chute e você merece informação certa."
Parcelamento,"dá pra parcelar, aceita cartão, quantas vezes, tem parcelamento","Sim, [nome]! 💛 A clínica facilita, e as condições são apresentadas na avaliação. | Posso já reservar seu horário?","Aceitamos cartão de crédito e débito, PIX, boleto, dinheiro e empréstimo consignado. PIX e dinheiro têm 5% de desconto. O número de parcelas é definido junto com o dentista, conforme o seu tratamento."
Medo / Trauma de dentista,"tenho medo, sou traumatizado, morro de medo, tenho pânico, já tive experiência ruim","Entendo completamente, [nome] 💛 Aqui o ambiente é climatizado e tem aromaterapia justo pra deixar a pessoa mais tranquila. | Posso reservar um horário pra você conhecer a equipe?","Muita gente chega aqui com esse receio. A avaliação é só conversa e diagnóstico, sem nenhum procedimento. Com a câmera intraoral você vê a sua boca na tela e entende exatamente o que está acontecendo, sem surpresa."
Medo de dor,"vai doer, sinto muita dor, dói muito, tenho medo da dor","É um receio bem comum, [nome] 😊 A avaliação em si não tem procedimento nenhum, é conversa e diagnóstico. | Posso ver um horário pra você?","Quando o tratamento começa, é com anestesia local. A clínica também tem laserterapia, que ajuda na cicatrização depois de cirurgia e implante, e a maioria dos pacientes sente bem menos do que esperava."
Medo de moldagem,"odeio massinha, aquela pasta me dá ânsia, tenho engulho na moldagem","Aqui a gente não usa massinha, [nome] 😊 É um scanner que faz o mapeamento 3D em poucos minutos. | Posso reservar sua avaliação?","O scanner intraoral digital substituiu a moldagem tradicional. Você inclusive vê na tela como vai ficar o resultado planejado antes de começar o tratamento."
Idade,"sou muito velho, já tenho idade, tenho 70 anos, será que dá na minha idade","Não existe idade pra recuperar o sorriso, [nome] 💛 O que define é a saúde da boca, e é isso que a avaliação verifica. | Posso reservar um horário?","Atendemos muitos pacientes que chegam achando que perderam a chance. O dentista responsável avalia osso e gengiva e indica a melhor solução para o seu caso."
Adaptação / me viro com a dentadura,"já me acostumei, me viro assim, dentadura tá boa, não preciso mudar","Faz sentido, [nome], mas dá pra ficar bem melhor do que se virar 😊 Muita gente descobre isso na avaliação. | Posso te mostrar um horário?","Prótese solta limita mastigação e vai reabsorvendo o osso com o tempo. O implante devolve firmeza. Na avaliação você vê a sua situação na tela da câmera intraoral e decide com informação."
Distância / localização,"é longe, moro em outra cidade, onde vocês ficam, dá pra chegar como","Ficamos na Rodovia Darci Gomes de Moraes, 1098, pertinho do posto Ipiranga de Praia de Leste 📍 | Posso te mandar o mapa e já reservar sua avaliação?","Temos estacionamento próprio e gratuito no local, e acesso completo para cadeirante e mobilidade reduzida. A clínica fica embaixo da academia."
