ID,Categoria,Conteúdo,Tags
1,Clínica - Apresentação,"A Elegance Iris Satélite oferece reabilitação oral completa e estética dental de alta qualidade em Campinas/SP. Atendimento personalizado e exclusivamente particular para quem busca saúde bucal e confiança no sorriso.",apresentacao,campinas,elegance
2,Especialidades - Lista Completa,"Implantes e Próteses | Protocolos de Reabilitação Oral | Ortodontia (Aparelhos) | Lentes de Contato e Facetas | Clareamento Dental | Clínica Geral e Restaurações | Limpeza | Extração (Sisos) | Tratamento de Canal (Endodontia) | Periodontia (Gengiva) | Odontopediatria | RX",especialidades
3,Avaliação sem Custo,"A avaliação inicial com a Dra. Isadora é totalmente sem custo. Duração: 15 minutos. Ela examina o caso, apresenta o diagnóstico e as opções de tratamento. Sem compromisso. Encaixes somente para emergências.",avaliacao,sem custo,primeiro passo
4,Público-alvo,"Atende pacientes de todas as idades. Menores de 18 anos devem vir com responsável. Especialidade principal: implantes para pacientes 40+. Classes B, C e D. Exclusivamente particular — não aceita convênios.",publico,foco,implantes
5,Dra. Isadora - Apresentação,"A Dra. Isadora é a especialista responsável da Elegance Iris Satélite. Ela conduz as avaliações com foco em reabilitação oral e bem-estar do paciente. Atende de forma acolhedora, explicando cada detalhe antes de qualquer decisão.",dentista,isadora,especialista
6,Implantes e Próteses,"Implantes osseointegrados para substituição de dentes ausentes. Próteses fixas e removíveis. Reabilitação oral com resultado natural e duradouro. Ideal para pacientes 40+ que buscam qualidade de vida e autoestima.",implantes,proteses,reabilitacao
7,Protocolos de Reabilitação Oral,"Protocolos de arcada completa para casos de múltiplas ausências dentárias. Solução definitiva e funcional. A Dra. Isadora avalia e apresenta o protocolo ideal para cada caso na avaliação sem custo.",protocolos,reabilitacao,arcada
8,Ortodontia,"Aparelhos ortodônticos metálicos, estéticos e alinhadores. Correção de mordida, alinhamento e espaçamento. Para adolescentes e adultos. A Dra. Isadora indica o tratamento mais adequado na avaliação.",ortodontia,aparelho,alinhamento
9,Estética Dental,"Lentes de contato dental e facetas de porcelana para transformação do sorriso. Clareamento dental com resultados naturais e duradouros. A Dra. Isadora apresenta as opções personalizadas na avaliação.",estetica,lentes,facetas,clareamento
10,Clínica Geral e Restaurações,"Consultas de rotina, restaurações com resina composta, limpeza (profilaxia) e RX. Base de uma saúde bucal saudável. Atende adultos e crianças. Encaixes somente para emergências.",clinica geral,restauracao,limpeza,rx
11,Odontopediatria,"Atendimento odontológico para crianças e adolescentes. Menores de 18 anos devem vir acompanhados do responsável legal. Ambiente acolhedor para os pequenos pacientes.",odontopediatria,criancas,responsavel
12,Endodontia e Extração,"Tratamento de canal (endodontia) para salvar dentes comprometidos. Extração de sisos e dentes sem recuperação. Procedimentos realizados com anestesia local para máximo conforto.",canal,endodontia,extracao,sisos
13,Periodontia,"Tratamento de gengiva: gengivite, periodontite. Raspagem e alisamento radicular. A saúde da gengiva é base para qualquer tratamento restaurador. A Dra. Isadora avalia e orienta.",periodontia,gengiva,saude bucal
14,Pagamento e Financiamento,"Formas de pagamento: Dinheiro, Pix, Boleto bancário em até 36x, Cartão de Débito, Cartão de Crédito em até 18x, Entrada programada. Condições negociadas na avaliação com a Dra. Isadora.",pagamento,financiamento,parcelamento
15,Convênios,"A Elegance Iris Satélite atende exclusivamente de forma particular. Não aceita planos odontológicos nem convênios. Pagamento facilitado em diversas modalidades.",convenio,particular,plano
16,Horário de Funcionamento,"Seg–Sex: 08h00–18h00 (almoço 12h–13h). Sábado: 08h00–12h00. Domingo: fechado. Último horário: 17h45 (seg–sex) e 11h45 (sáb). Nenhum agendamento no intervalo 12h–13h. Encaixes apenas para emergências.",horario,funcionamento,agenda
