Tópico,Informação
Nome da clínica,Oral Conceito
Unidade,Nova Esperança
Cidade,Parnamirim/RN
Propósito,"Aproximar a odontologia de qualidade da população, oferecendo tratamentos completos com segurança, tecnologia e cuidado"
Missão,"Transformar sorrisos através de um atendimento humano, acessível e confiável"
Identidade,"Clínica acolhedora, de confiança e proximidade. O paciente sente que foi ouvido, bem orientado e acompanhado"
Filosofia,"Eliminar o medo do dentista e transformar o atendimento odontológico em uma experiência positiva"
Serviços oferecidos,"Clínica geral, limpeza e prevenção, restaurações, tratamento de canal, ortodontia, próteses, implantes dentários, estética dental"
Foco,Solução completa para o paciente dentro de uma mesma estrutura
Raio-X panorâmico próprio,"Equipamento dentro da clínica. Diagnóstico mais rápido, mais comodidade, melhor planejamento. O paciente não precisa sair para o exame"
Avaliação,Cortesia da clínica — horário reservado para entender o caso e orientar o melhor caminho
Dentista,Dra. Letícia (referir como "dentista responsável" antes do agendamento)
Formas de pagamento,"Cartão de crédito até 12x, débito, PIX, boleto e dinheiro. PIX e dinheiro: 5% de desconto"
Convênios,Não aceita convênios odontológicos
Público alvo,"Pacientes que buscam confiança, bom atendimento, facilidade, segurança e solução para o problema"
Perfil do paciente,"Quer ser tratado com respeito e sentir que está em boas mãos. Pode ter medo do dentista"
Diferencial,"Atendimento humanizado, profissionais capacitados, tecnologia, acompanhamento próximo. Exame panorâmico no mesmo local"
Comunicação,Simples, acolhedora, profissional e educativa. Explicar tudo de forma que qualquer pessoa entenda
Idade mínima,15 anos
Encaixes,Somente emergência
Frase de marca,Cuidar do sorriso é cuidar da autoestima e da qualidade de vida.
