Categoria,Pergunta_Objeção_Relacionada,Resposta_Sofia
Experiência,"Há quanto tempo a clínica existe? A clínica é boa?","A Biosorriso tem 12 anos de atuação e é a clínica odontológica mais bem avaliada no Google em Irecê e região. Mais de 10 mil pacientes atendidos e transformados."
Avaliação,"Como funciona a avaliação? O que acontece na consulta?","A avaliação tem 30 minutos. O Dr. Jacyo faz um exame completo, entende o seu caso e apresenta as opções de tratamento com calma. É uma cortesia da nossa casa, sem nenhum compromisso."
Estrutura,"Como é a clínica? É moderna?","A Biosorriso tem estrutura premium e totalmente climatizada. Consultórios modernos, organizados e confortáveis. Tecnologia de ponta com tomógrafo próprio, raio-X digital e panorâmica digital."
Tecnologia,"Usam tecnologia moderna? Têm tomógrafo?","Sim! Temos tomógrafo próprio, raio-X digital e panorâmica digital. Fazemos planejamento digital de alta precisão para diagnósticos mais seguros e tratamentos personalizados."
Atendimento Humanizado,"O atendimento é bom? É acolhedor?","O atendimento na Biosorriso é humanizado e acolhedor. Nossa equipe é treinada para cuidar de você em todos os sentidos: ambiente agradável, comunicação empática e atenção a cada detalhe."
Diferenciais,"Por que escolher a Biosorriso?","Somos a clínica mais bem avaliada de Irecê. 12 anos de experiência, mais de 10 mil pacientes transformados, tecnologia de ponta e atendimento que une humanização e excelência."
Especialidades,"Que tratamentos a clínica faz?","Realizamos implantes e próteses, ortodontia com aparelho e alinhador, lentes de contato dental, facetas, clínica geral e limpeza, canal, tratamento de gengiva, extração de sisos e restauração em resina."
Convênio,"Aceita convênio? Tem plano de saúde?","Trabalhamos exclusivamente com particular 😊 Mas temos condições de pagamento bem facilitadas para você."
Pagamento,"Como posso pagar? Parcela?","Aceitamos cartão de crédito em até 12x, débito, PIX, boleto e dinheiro. Para pagamentos em PIX ou dinheiro, oferecemos desconto de 5% a 15%. Também temos opção de entrada programada."
Desconto PIX,"Tem desconto no PIX?","Sim! Para pagamentos à vista em PIX ou dinheiro, oferecemos desconto de 5% a 15%."
Público Atendido,"Atende crianças? Qual a idade mínima?","Atendemos pacientes a partir de 12 anos. Nosso foco é o público adulto e adolescente."
Localização,"Onde fica a clínica? Qual o endereço?","Ficamos na Av. Caraíbas, 790, Centro de Irecê, BA. Em frente ao Colégio Luís Viana Filho. Temos acessibilidade!"
Horários,"Qual o horário de funcionamento?","Funcionamos de segunda, terça, quinta e sexta das 08h às 18h, e sábado das 08h às 12h. Quarta e domingo não temos atendimento. Pausa para almoço das 12h às 13h30."
Encaixe,"Dá para encaixar com urgência?","Encaixes são reservados apenas para emergências. Para avaliações agendamos com antecedência, o que garante um atendimento de qualidade e tempo suficiente para o Dr. Jacyo cuidar bem do seu caso."
Agendamento,"Como faço para agendar?","É simples! Basta me passar seu nome completo e telefone que eu já reservo um horário exclusivo para você com o Dr. Jacyo."
