"Tópico","Informação"
"Nome da clínica","Sorria Penha"
"Unidades","Penha, Recreio dos Bandeirantes e Duque de Caxias"
"Anos de experiência","7 anos"
"Dentistas responsáveis","Dra. Lorena e Dr. Felipe (nunca citar o nome antes do agendamento confirmado)"
"Especialidades","Todas as especialidades odontológicas, com destaque para facetas em resina e lentes de contato"
"Atendimento infantil","A partir de 5 anos, preferencialmente crianças que já tiveram contato prévio com dentista. Não é especialista em odontopediatria"
"Público-alvo","Público em geral"
"Convênios","Não aceita — atendimento exclusivamente particular"
"Termo da avaliação","Sem custo"
"Duração da avaliação","20 minutos"
"Pacientes por horário","1 (capacidade simultânea varia por unidade)"
"Encaixes","Somente emergências"
"Horário Penha","Segunda a sexta, 08:30 às 18:00. Sábado, 08:30 às 12:30. Domingo fechado. Até 7 horários simultâneos"
"Horário Recreio","Segunda a sexta, 09:00 às 18:00. Sábado, 09:00 às 12:30. Domingo fechado. Até 5 horários simultâneos"
"Horário Caxias","Segunda a sexta, 09:00 às 18:00. Sábado, 09:00 às 12:30. Domingo fechado. Até 4 horários simultâneos"
"Formas de pagamento","Cartão de crédito em até 10x sem juros, débito, PIX, boleto e dinheiro"
"Carteirinha de Atendimento","Carteirinha Sorria Penha — permite parcelar tratamentos maiores (implantes, harmonização facial, facetas) dando uma entrada e pagando aos poucos conforme a necessidade, sem comprometer o cartão de crédito. Ao quitar, o procedimento é realizado"
"Dados de agendamento","Nome completo e data de nascimento (obrigatórios). Telefone já vem do WhatsApp — só solicitado em remarcação, cancelamento ou verificação. CPF solicitado se possível, sem travar o agendamento. Pedir para trazer documento com foto no dia da consulta"
"Campanha ativa","Nenhuma no momento"
