"Categoria","Item","Descrição"
"Identidade","Missão","Transformar a vida das pessoas através do sorriso. Porque aqui, você ainda pode tudo."
"Identidade","Visão","Ser referência em reabilitação e transformação de vidas em todo o território brasileiro através da odontologia."
"Identidade","Posicionamento","Clínica de experiência premium-humanizada. Referência em reabilitação oral. Não é só odontologia — é transformação de autoestima e qualidade de vida."
"Identidade","Tom de Marca","Humana, próxima, premium sem arrogância, moderna, confiável, técnica, elegante, acolhedora, transformadora."
"Profissional","Dr. João Roberto — Experiência","Mais de 13 anos na odontologia. 11 anos no atual consultório."
"Profissional","Dr. João Roberto — Formação Odontologia","Formado pela Universidade Potiguar em 2011."
"Profissional","Dr. João Roberto — Formação Fonoaudiologia","Também é formado em Fonoaudiologia pela UNP, há mais de 20 anos. Isso amplia sua visão sobre função oral, estética, fala, mastigação e qualidade de vida."
"Profissional","Dr. João Roberto — Especialidades","Implantodontia, Prótese, Periodontia, Dentística, Estética."
"Profissional","Dr. João Roberto — Perfil","Dinâmico, exigente com qualidade, organizado, em constante evolução. Comunicação simples, próxima, humana e direta — fácil de entender. Não usa linguagem técnica demais."
"Profissional","Dr. João Roberto — Mentoria","Participa da Mentoria Sala Black conduzida pela Dra. Ila Flávia (IBS Implantes, Goiânia). Foco em alta performance, excelência clínica e visão estratégica."
"Equipe","Lívia Rego","CRC — Coordenadora de Relacionamento com o Cliente"
"Equipe","Andréia Ferreira","TSB — Técnica em Saúde Bucal"
"Equipe","Kener Paulo","Gestão Administrativa"
"Procedimentos","Implantes Dentários","Carro-chefe da clínica."
"Procedimentos","Prótese sobre Implante","Alta demanda."
"Procedimentos","Prótese Protocolo","Reabilitação oral completa com protocolo."
"Procedimentos","Reabilitação Oral","Reabilitação funcional e estética completa."
"Procedimentos","Periodontia","Tratamento de gengiva."
"Procedimentos","Clareamento Dental","Com luz violeta."
"Procedimentos","Estética do Sorriso","Design de sorriso e tratamentos estéticos."
"Procedimentos","Facetas em Resina","Facetas diretas em resina composta."
"Procedimentos","Coroas em Resina","Coroas temporárias e definitivas em resina."
"Procedimentos","Facetas em Porcelana","Laminados cerâmicos em porcelana."
"Procedimentos","Coroas em Porcelana","Coroas metal-free em porcelana."
"Procedimentos","Facetas em Zircônia","Facetas de alta resistência e estética."
"Procedimentos","Coroas em Zircônia","Coroas em zircônia — máxima resistência e estética."
"Procedimentos","Alinhadores Invisíveis","Tratamento ortodôntico com alinhadores."
"Tecnologia","Scanner Intraoral","Digitalização precisa, sem moldeira de silicone desconfortável."
"Tecnologia","Centrífuga LPRF e IPRF","Uso de fibrina do próprio paciente para regeneração e cicatrização acelerada."
"Tecnologia","Raio-X Periapical","Diagnóstico preciso por imagem."
"Tecnologia","Ultrassom","Limpeza e procedimentos periodontal."
"Tecnologia","Laserterapia","Tratamentos menos invasivos e com recuperação mais rápida."
"Tecnologia","Luz Violeta","Clareamento dental mais eficiente."
"Estrutura","Recepção","Climatizada, iluminada, clara, aconchegante e organizada. TV, cadeiras confortáveis, água e café."
"Estrutura","Sala de Avaliação","Espaço exclusivo para avaliação e planejamento. Climatizada, com espelho amplo, identidade olfativa exclusiva. Acompanhante pode participar."
"Estrutura","Espaço Clínico","Cadeira odontológica moderna, TV, Alexa, vista privilegiada da cidade de Natal. Pensado para longos procedimentos com conforto."
"Estrutura","Área de Higienização","Área reservada para higienização das mãos e do rosto do paciente."
"Estrutura","Tecnologia Interna","Expurgo e esterilização exclusivos. Biossegurança rigorosa."
"Estrutura","Localização","Corporate Tower Center, Av. Amintas Barros, 3700, Torre B, Sala 1805, Lagoa Nova, Natal/RN. Estacionamento disponível. Acessibilidade. Por trás da antiga fábrica Samis."
"Valores","1","Acreditamos em Deus"
"Valores","2","Transparência e jogo aberto"
"Valores","3","Pressão é um privilégio"
"Valores","4","Prosperidade para todos"
"Valores","5","Ambição e gratidão"
"Valores","6","Dá trabalho ser foda"
"Valores","7","Cuidamos uns dos outros"
"Valores","8","Sempre pode ser melhor"
