"Tópico","Informação"
"Especialidades","Todas as especialidades odontológicas, exceto odontopediatria. Também realizamos Harmonização Facial."
"Público-alvo","Público em geral, a partir de 12 anos. Não atendemos odontopediatria."
"Avaliação","Avaliação sem custo com a dentista responsável. Duração de 30 minutos."
"Pagamento","Aceitamos cartão de crédito, cartão de débito, PIX, boleto e dinheiro. PIX e dinheiro têm 5% de desconto."
"Convênios","Atendimento exclusivamente particular. Não aceita convênios."
"Experiência","13 anos de clínica. Dr. Pery Amorim Teixeira, dentista fundador, com 25 anos de experiência."
"Dentista Responsável pelas Avaliações","Dra. Kaira Lopes Campos, mencionada somente após o agendamento confirmado."
"Redes Sociais","@clinicatotalodonto"
"Contato","(73) 98889-4691"
"Atendimento Particular","Atendimento exclusivamente particular, sem convênios."
"Agenda de Sábado","Atendimento aberto no período da manhã de sábado, sem horário fixo de fechamento — confirmar sempre a disponibilidade real na agenda."
"Regra da Segunda-feira","Na segunda-feira o atendimento ao paciente começa apenas às 10h, devido à reunião geral da equipe."
