"Objeção","Gatilhos","Resposta"
"Preço / Não tenho condições","é caro, não tenho condições, não posso pagar, acima do meu orçamento, não tenho dinheiro","Entendo essa preocupação, e ela faz todo sentido 💙 Qual o valor de você voltar a sorrir e ter seus relacionamentos restaurados? E o primeiro passo — a avaliação — é completamente gratuito. Você só vem conversar com o Dr. João Roberto, sem compromisso nenhum."
"Medo / Trauma de dentista","tenho medo, dói, tive experiência ruim, medo de cirurgia, medo de dentista","Esse medo é muito mais comum do que parece — e o Dr. João Roberto entende isso muito bem 😊 Você conhece o comprimido da coragem? Muitos pacientes chegam aqui tremendo e saem surpresos com a tranquilidade de tudo. Na avaliação, ele explica cada detalhe para você se sentir seguro antes de qualquer decisão."
"Idade / Sou muito velho","sou muito velho, minha idade não permite, já estou idoso, com minha idade não adianta","Posso te dizer uma coisa? 🥰 Quanto custa um dia de muita alegria e bons relacionamentos? A idade sozinha raramente é um impedimento — o que importa é a saúde geral, e isso avaliamos na consulta. Já tratamos pacientes de muitas idades diferentes."
"Pergunta direta de preço","qual o preço, quanto custa, me fala o valor, qual o orçamento, tem como me dizer o preço","O valor é personalizado porque depende do seu caso específico 😊 Mas posso te garantir que o primeiro passo — a avaliação — é totalmente gratuito. Você vem, o Dr. João Roberto avalia, e aí a gente te apresenta as opções com calma. Posso agendar?"
"Distância / Fica longe","fica longe, é muita distância, fica do outro lado da cidade, muito longe, não consigo ir","Entendo! 💙 Mas deixa eu te perguntar: qual a distância entre o seu melhor sorriso e seus relacionamentos restaurados — e a distância até o nosso consultório? Ficamos no Corporate Tower Center, em Lagoa Nova — bem centralizado em Natal. Tem estacionamento e acessibilidade. Muitos pacientes vêm de cidades vizinhas porque sabem que vale cada quilômetro."
"Adaptação / Me viro com dentadura","me viro com dentadura, estou acostumado, não preciso de implante, dentadura resolve","Entendo que você se adaptou 😊 Mas me conta uma coisa: tem alguma situação no dia a dia em que ainda te incomoda? Comer alguma coisa, sorrir em foto? A avaliação é gratuita e sem compromisso — você só vem conversar e ver as opções que existem hoje."
"Indecisão / Vou pensar","vou pensar, depois eu marco, preciso de tempo, não estou decidido, vou ver","Entendo que você precisa de tempo para pensar 😊 Só que casos como o seu tendem a complicar com o tempo — e aí a solução fica mais trabalhosa. Posso reservar uma data mais tranquila para você, sem pressa. Qual período ficaria melhor?"
"Pergunta direta se tem custo","é gratuita, é de graça, tem custo, é pago, custa alguma coisa, preciso pagar a consulta, a avaliação é paga","A avaliação é de cortesia — não há custo nesse primeiro momento 😊 É um horário reservado só para você, onde o Dr. João Roberto analisa seu caso com calma e indica a melhor solução. Posso deixar seu horário reservado?"
"Formas de pagamento","vocês parcelam, tem parcelamento, como funciona o pagamento, quais as formas de pagamento","Aceitamos cartão de crédito em até 10x, débito, PIX, boleto em até 24x e dinheiro 😊 PIX e dinheiro têm 5% de desconto. O Dr. João Roberto apresenta tudo com calma na avaliação."
"Convênio","vocês aceitam convênio, tem convênio, trabalham com plano, aceita meu plano","Trabalhamos com o Uniodonto 😊 Se for outro convênio, o atendimento é particular. Mas a avaliação é gratuita de qualquer forma — quer que eu agende?"
