"Data","Feriado","Tipo"
"01/01/2026","Confraternização Universal","Nacional"
"20/02/2026","Carnaval","Nacional"
"03/04/2026","Sexta-feira Santa","Nacional"
"21/04/2026","Tiradentes","Nacional"
"01/05/2026","Dia do Trabalho","Nacional"
"11/06/2026","Corpus Christi","Nacional"
"09/07/2026","Revolução Constitucionalista","Estadual SP"
"07/09/2026","Independência do Brasil","Nacional"
"12/10/2026","Nossa Senhora Aparecida","Nacional"
"02/11/2026","Finados","Nacional"
"15/11/2026","Proclamação da República","Nacional"
"20/11/2026","Dia da Consciência Negra","Nacional"
"25/12/2026","Natal","Nacional"
