"Categoria","Item","Descrição"
"Identidade","Missão","Transformar a vida das pessoas através do sorriso. Porque aqui, você ainda pode tudo."
"Identidade","Visão","Ser referência em reabilitação, estética e transformação de vidas na Zona Oeste do Rio de Janeiro."
"Identidade","Posicionamento","Clínica de experiência premium-humanizada. Referência em reabilitação oral e estética. Não é só odontologia — é transformação de autoestima e qualidade de vida."
"Identidade","Tom de Marca","Humana, próxima, premium sem arrogância, moderna, confiável, técnica, elegante, acolhedora, transformadora."
"Profissional","Dra. Fernanda Vasconcellos — Experiência","17 anos de experiência na odontologia."
"Profissional","Dra. Fernanda Vasconcellos — Especialidades principais","Implantes e Próteses (carro-chefe), Ortodontia, Lentes de Contato e Facetas, Harmonização Orofacial."
"Profissional","Dra. Fernanda Vasconcellos — Redes Sociais","@drafernandavasconcellos"
"Profissional","Dra. Fernanda Vasconcellos — Perfil","Comunicação próxima, técnica e ao mesmo tempo humana. Explica de forma prática, sem linguagem excessivamente técnica. Foca na transformação real do paciente."
"Profissional","Dra. Patrícia — Função","Especialista integrante da equipe clínica. Responsável pelos atendimentos nas quartas-feiras."
"Equipe","Sophia","SDR — Atendimento e agendamento via WhatsApp"
"Equipe","Grasieli","Atendimento humano — transbordo quando necessário"
"Procedimentos","Implantes Dentários","Carro-chefe da clínica."
"Procedimentos","Próteses sobre Implante","Alta demanda."
"Procedimentos","Prótese Protocolo","Reabilitação oral completa com protocolo."
"Procedimentos","Ortodontia","Aparelhos fixos e alinhadores invisíveis."
"Procedimentos","Lentes de Contato Dental","Laminados ultrafinos para estética do sorriso."
"Procedimentos","Facetas","Facetas em porcelana, resina ou zircônia."
"Procedimentos","Harmonização Orofacial (HOF)","Procedimentos estéticos faciais complementares à odontologia."
"Procedimentos","Clínica Geral e Limpeza","Atendimento geral, profilaxia e manutenção da saúde bucal."
"Procedimentos","Endodontia (Canal)","Tratamento de canal."
"Procedimentos","Periodontia","Tratamento de gengiva e tecidos de suporte."
"Procedimentos","Extração","Extrações em geral, incluindo sisos (terceiros molares)."
"Estrutura","Localização","Av. Marechal Fontenele, 3975, Loja A, Realengo, Rio de Janeiro - RJ."
"Estrutura","Referência","Ao lado do Banco do Brasil e Bradesco. A 100 metros do Parque Shopping Sulacap."
"Estrutura","Acesso","No térreo, vagas na porta, rampa de acesso."
"Estrutura","Maps","https://share.google/Vu32r4AZdjWMwC7Na"
"Agenda","Segunda a Sexta","09:00 às 18:30 (sem pausa para almoço)"
"Agenda","Sábado","09:00 às 12:30"
"Agenda","Domingo","FECHADO"
"Agenda","Quarta-feira","Apenas Dra. Patrícia disponível. Dra. Fernanda está na outra clínica."
"Agenda","Avaliação — Duração","15 minutos"
"Agenda","Avaliação — Custo","Gratuita (sem custo)"
"Agenda","Pacientes por horário","2"
"Agenda","Encaixes","Somente emergências"
"Agenda","Idade mínima","8 anos"
"Pagamento","Formas aceitas","Cartão de crédito, débito, PIX, boleto e dinheiro"
"Pagamento","Desconto","8% de desconto para PIX e dinheiro"
"Pagamento","Convênios","NÃO aceita convênios. Atendimento exclusivamente particular."
"Valores","1","Acreditamos em Deus"
"Valores","2","Transparência e jogo aberto"
"Valores","3","Pressão é um privilégio"
"Valores","4","Prosperidade para todos"
"Valores","5","Ambição e gratidão"
"Valores","6","Dá trabalho ser foda"
"Valores","7","Cuidamos uns dos outros"
"Valores","8","Sempre pode ser melhor"
