Tópico,Informação
Scanner intraoral,"Scanner intraoral digital que substitui a moldagem com massinha. Faz o mapeamento 3D da boca em poucos minutos, de forma digital e confortável, e o paciente vê na tela o resultado planejado para o sorriso antes de iniciar o tratamento"
Laboratório de prótese próprio,"Laboratório digital de prótese dentro da própria clínica. O trabalho é desenhado por computador e produzido internamente, sem intermediário, com redução grande no tempo de tratamento e acabamento artesanal com precisão milimétrica"
Câmera intraoral,"Câmera intraoral em que o paciente vê a própria saúde bucal em tempo real numa tela: cárie, infiltração, infecção, trinca. Diagnóstico com transparência e clareza"
Laserterapia,"Aparelho de laser para laserterapia, com protocolos terapêuticos avançados que auxiliam na cicatrização pós-cirúrgica de implante, extração e cirurgias em geral"
Raio-X periapical,Raio-X periapical feito na própria clínica. É o único exame de imagem realizado internamente
Tomografia,"Tomografia computadorizada não é feita na clínica. Quando indicada, é solicitada pelo dentista como exame complementar, principalmente para planejamento de implante, por permitir avaliação tridimensional do osso"
Exames realizados na clínica,Somente raio-X periapical
Método de avaliação clínica,"Análise da saúde bucal, dentes, gengiva, próteses e estruturas de suporte"
Método de avaliação radiográfica,Radiografias para identificar alterações que não aparecem no exame clínico
Método de escaneamento intraoral,Reprodução digital da boca para mais precisão no diagnóstico e no planejamento
Método de fotografia odontológica,Registro detalhado do sorriso e das estruturas bucais para análise e acompanhamento
Método de avaliação periodontal,"Análise da gengiva, dos tecidos de suporte e de possíveis sinais de doença periodontal"
Método de planejamento digital,Integração de todos os exames para definir a estratégia de tratamento de cada paciente
Procedimento carro-chefe,Implante dentário unitário e implante para prótese protocolo
Procedimentos de prótese,"Prótese protocolo, PT (prótese total), PPR flex, PPR acrílica, PPR metálica e próteses em geral"
Procedimentos de estética,Facetas
Procedimentos de ortodontia,Ortodontia com alinhadores e com aparelho autoligado
Procedimentos de clínico geral,Atendimento clínico geral
Endodontia,Tratamento de canal com endodontista na equipe
Especialidades,"Todas as especialidades, com exceção de odontopediatria"
Idade mínima,4 anos. Criança é atendida em clínico geral. A clínica não tem odontopediatra
Consultórios,3 consultórios
Ambiente,"Toda a clínica é climatizada, com música ambiente e recepção com cadeiras confortáveis"
Aromaterapia,"Aromaterapia de lavanda e bambu para reduzir a ansiedade do paciente"
Esterilização,Processo de esterilização rigoroso e visível ao paciente
Equipamentos,"Equipamentos novos e sistemas digitais integrados para exames e diagnóstico em tempo real"
Duração da avaliação,30 minutos
Capacidade por horário,"2 pacientes por horário em avaliação. Em procedimento, 1 paciente por horário"
Encaixes,A clínica não aceita encaixe
Convênios,"Não atende convênio nem plano odontológico. Atendimento exclusivamente particular"
Formas de pagamento,"Cartão de crédito, cartão de débito, PIX, boleto, dinheiro e empréstimo consignado"
Desconto,PIX e dinheiro têm 5% de desconto
Parcelamento,"Crédito parcelado disponível. As condições são apresentadas pelo dentista na avaliação, a Clarisse não fecha número de parcelas"
Anos de experiência,5 anos de atuação
Termo da avaliação,"Campanha de Arrecadação de Alimentos: contribuição de 1 alimento não perecível, destinado a uma instituição beneficente"
INTERNO - Equipe,"Dr Hugo Barreto (clínico geral), Dr Bruno Saimon (clínico geral e ortodontia), Dra Gabriele Matzenbacher (protesista e implantodontia), Dr Felipe Hanek (dentística e facetas), Dr Rafael Ancioto (endodontia), Dr Sidnei Chamberlain (implantodontia)"
INTERNO - Direção,Guilherme Scopel é o proprietário da clínica
INTERNO - Uso da equipe,"Regra interna. Nunca citar nome de dentista antes do agendamento confirmado. Antes: 'o dentista responsável'. Depois: {{nome_profissional_sugerido}}"
INTERNO - Transbordo,"Atendentes humanas: Emily e Gisele"
