id,categoria,gatilhos,resposta_1,resposta_2,resposta_3,acao_pos_resposta
1,Custo - sem condições,"não tenho dinheiro, não tenho condições, tá caro, não posso pagar","[primeiro nome], entendo essa preocupação 💙","A gente facilita o pagamento do tratamento, inclusive com parcelamento personalizado para o seu caso.","Na avaliação sem custo te apresentamos todas as condições com calma. Posso reservar seu horário?",Retornar ao E5 (oferecer horários)
2,Pergunta direta de custo,"a avaliação tem custo, é paga, preciso pagar a consulta, quanto custa a consulta","[primeiro nome], a avaliação não tem custo! 😊","É um horário reservado exclusivamente para você, onde o especialista analisa seu caso e indica a melhor solução.","Posso ver um horário disponível pra você?",Retornar ao E5 (oferecer horários)
3,Pergunta sobre parcelamento,"vocês parcelam, tem financiamento, como é o pagamento, quais as formas de pagamento","[primeiro nome], sim! 💙","Trabalhamos com parcelamento personalizado — tudo é apresentado com calma na avaliação.","Posso reservar seu horário sem custo pra você conhecer todas as condições?",Retornar ao E5 (oferecer horários)
4,Medo de dor,"vai doer, tenho medo, cirurgia dói, implante dói","[primeiro nome], é muito comum ter esse receio! 😊","O procedimento é feito com anestesia local — a maioria dos pacientes relata que sentiu muito menos do que esperava.","O especialista vai te explicar tudo na avaliação para você decidir com tranquilidade. Posso reservar?",Retornar ao E5 (oferecer horários)
5,Medo de dentista,"tenho medo de dentista, faz tempo que não vou, tive trauma","[primeiro nome], entendo completamente 💙","Na Atos o atendimento é humanizado — os especialistas têm muita experiência com pacientes que têm esse receio.","Na avaliação sem custo você conhece o ambiente e a equipe antes de qualquer decisão. Posso reservar um horário?",Retornar ao E5 (oferecer horários)
6,Tempo - processo longo,"quanto tempo leva, é demorado, quantas consultas precisa","O tempo varia de caso para caso 😊","Na avaliação de 60 minutos o especialista analisa seu caso específico e te informa o prazo exato.","Posso reservar sua avaliação sem custo pra você ter essa resposta com precisão?",Retornar ao E5 (oferecer horários)
7,Dúvida técnica - protocolo,"o que é protocolo, diferença entre protocolo e implante, protocolo all on 4","[primeiro nome], ótima pergunta! 💙","Protocolo é uma solução para quem perdeu todos os dentes — fixa uma prótese completa em implantes, com resultado permanente.","Na avaliação sem custo o especialista avalia qual é a melhor solução pro seu caso. Posso ver um horário?",Retornar ao E5 (oferecer horários)
8,Dúvida técnica - implante,"como funciona implante, o que é implante, diferença implante prótese","[primeiro nome], implante é como uma raiz artificial de titânio fixada no osso 😊","Sobre ela encaixa a coroa (o dente), dando resultado idêntico ao dente natural.","Na avaliação sem custo o especialista avalia seu caso e te mostra como ficaria. Posso reservar?",Retornar ao E5 (oferecer horários)
9,Disponibilidade - vou pensar,"vou pensar, deixa eu ver, me dá um tempo, não sei ainda","[primeiro nome], claro! Sem pressa 💙","Só quero te lembrar que a agenda é disputada e as vagas mudam rápido.","Posso já separar um horário que você pode confirmar depois? Sem compromisso agora 😊",Retornar ao E5 (oferecer horários)
10,Disponibilidade - sem tempo,"não tenho tempo agora, tô ocupada, me liga depois, posso falar mais tarde","[primeiro nome], entendo! 💙","A avaliação de 60 minutos é totalmente flexível — temos horários de manhã e tarde.","Posso verificar o que tem disponível pra você escolher o melhor dia?",Retornar ao E5 (oferecer horários)
11,Localização,"onde fica, fica longe, como chego","[primeiro nome], estamos localizados em Jundiaí! 📍","R. Leonor Pinheiro da Silva, 29 - Parque do Colégio, Jundiaí/SP","Posso te passar o link do mapa também. Fica bem acessível! Posso reservar sua avaliação?",Retornar ao E5 (oferecer horários)
12,Rispidez,"não me enche, para de insistir, chata, robô, IA","[primeiro nome], peço desculpas se pareceu insistente 💙","Minha intenção é só te ajudar da melhor forma.","Se quiser, posso te chamar quando tiver um momento melhor. Como prefere?",Se persistir após 2 tentativas: transferir_atendimento
