"Campo","Valor"
"Nome do Local","Clínica Fernanda Vasconcellos"
"Endereço","Av. Marechal Fontenele, 3975, Loja A, Realengo, Rio de Janeiro - RJ"
"Referência","Ao lado do Banco do Brasil e Bradesco. A 100 metros do Parque Shopping Sulacap."
"Maps","https://share.google/Vu32r4AZdjWMwC7Na"
"Estacionamento","Sim, vagas na porta"
"Acessibilidade","Sim — no térreo, rampa de acesso"
"Cidade","Rio de Janeiro"
"Estado","Rio de Janeiro"
"Bairro","Realengo"
"Como Chegar","Realengo, na Av. Marechal Fontenele, 3975, Loja A. No térreo, com vagas na porta e rampa de acesso. Ao lado do Banco do Brasil e Bradesco, a 100 metros do Parque Shopping Sulacap."
