"Objeção","Gatilhos","Resposta"
"Preço / Não tenho condições","é caro, não tenho condições, não posso pagar, acima do meu orçamento, não tenho dinheiro","Entendo essa preocupação, e ela faz todo sentido 💙 Qual o valor de você voltar a sorrir e ter seus relacionamentos restaurados? E o primeiro passo — a avaliação — é completamente gratuito. Você só vem conversar com nossas especialistas, sem compromisso nenhum. Além disso, aceitamos cartão, PIX e boleto para facilitar quando chegar a hora do tratamento."
"Medo / Trauma de dentista","tenho medo, dói, tive experiência ruim, medo de cirurgia, medo de dentista","Esse medo é muito mais comum do que parece — e a Dra. Fernanda entende isso muito bem 😊 Na avaliação, ela explica cada detalhe para você se sentir seguro(a) antes de qualquer decisão. Muitos pacientes chegam com receio e saem surpresos com a tranquilidade de tudo. A clínica foi pensada para acolher, não para assustar."
"Idade / Sou muito velho","sou muito velho, minha idade não permite, já estou idoso, com minha idade não adianta","Posso te dizer uma coisa? 🥰 Quanto custa um dia de muita alegria e bons relacionamentos? A idade sozinha raramente é um impedimento — o que importa é a saúde geral, e isso avaliamos na consulta. A Dra. Fernanda tem 17 anos de experiência e já tratou pacientes das mais diversas idades com excelentes resultados."
"Pergunta direta de preço","qual o preço, quanto custa, me fala o valor, qual o orçamento, tem como me dizer o preço","O valor é personalizado porque depende do seu caso específico 😊 Mas posso te garantir que o primeiro passo — a avaliação — é totalmente gratuito. Você vem, nossas especialistas avaliam seu caso, e aí a gente te apresenta as opções com calma. Posso agendar?"
"Distância / Fica longe","fica longe, é muita distância, fica do outro lado da cidade, muito longe, não consigo ir","Entendo! 💙 Mas deixa eu te perguntar: qual a distância entre o seu melhor sorriso e seus relacionamentos restaurados — e a distância até a nossa clínica? Ficamos em Realengo, na Av. Marechal Fontenele, 3975, Loja A — com vagas na porta, no térreo e rampa de acesso. Ao lado do Banco do Brasil e a 100 metros do Parque Shopping Sulacap. Muitos pacientes vêm de outros bairros porque sabem que vale cada quilômetro."
"Adaptação / Me viro com dentadura","me viro com dentadura, estou acostumado, não preciso de implante, dentadura resolve","Entendo que você se adaptou 😊 Mas me conta uma coisa: tem alguma situação no dia a dia em que ainda te incomoda? Comer alguma coisa, sorrir em foto? A avaliação é gratuita e sem compromisso — você só vem conversar e ver as opções que existem hoje. A Dra. Fernanda vai te mostrar o que é possível para o seu caso específico."
"Indecisão / Vou pensar","vou pensar, depois eu marco, preciso de tempo, não estou decidido, vou ver","Entendo que você precisa de um tempo para pensar 😊 Só que casos como o seu tendem a complicar com o tempo — e aí a solução fica mais trabalhosa e mais cara. Posso reservar uma data mais tranquila para você, sem pressa. Qual período ficaria melhor?"
"Convênio","vocês aceitam convênio, tem convênio, trabalham com plano, aceita meu plano, tem plano odontológico","A clínica não aceita convênios — o atendimento é exclusivamente particular 😊 Mas a avaliação é totalmente gratuita de qualquer forma. E para o tratamento, aceitamos cartão de crédito, débito, PIX, boleto e dinheiro. PIX e dinheiro têm 8% de desconto. Quer que eu agende sua avaliação gratuita?"
"Formas de pagamento","vocês parcelam, tem parcelamento, como funciona o pagamento, quais as formas de pagamento","Aceitamos cartão de crédito, débito, PIX, boleto e dinheiro 😊 PIX e dinheiro têm 8% de desconto. A Dra. Fernanda apresenta tudo com calma na avaliação gratuita."
"Pergunta direta se tem custo","é gratuita, é de graça, tem custo, é pago, custa alguma coisa, preciso pagar a consulta, a avaliação é paga","A avaliação é completamente gratuita — não há custo nesse primeiro momento 😊 É um horário reservado só para você, onde nossas especialistas analisam seu caso com calma e indicam a melhor solução. Posso deixar seu horário reservado?"
