Data,Feriado,Tipo,Observação
01/01/2026,Confraternização Universal,Nacional,Clínica fechada
14/01/2026,Fundação de Campinas,Municipal,Clínica fechada
17/02/2026,Carnaval (Segunda),Facultativo,Verificar com gestão
18/02/2026,Carnaval (Terça),Facultativo,Verificar com gestão
03/04/2026,Sexta-Feira Santa,Nacional,Clínica fechada
05/04/2026,Páscoa,Nacional,Clínica fechada
21/04/2026,Tiradentes,Nacional,Clínica fechada
01/05/2026,Dia do Trabalho,Nacional,Clínica fechada
04/06/2026,Corpus Christi,Nacional,Clínica fechada
09/07/2026,Revolução Constitucionalista,Estadual SP,Clínica fechada
07/09/2026,Independência do Brasil,Nacional,Clínica fechada
12/10/2026,Nossa Senhora Aparecida,Nacional,Clínica fechada
02/11/2026,Finados,Nacional,Clínica fechada
15/11/2026,Proclamação da República,Nacional,Clínica fechada
20/11/2026,Consciência Negra,Nacional,Clínica fechada
08/12/2026,Imaculada Conceição,Municipal Campinas,Clínica fechada
25/12/2026,Natal,Nacional,Clínica fechada
