Tópico,Informação
Endereço,"Rodovia Engenheiro Darci Gomes de Moraes, 1098, Pontal do Paraná/PR"
Referência,Próximo ao posto de gasolina Ipiranga de Praia de Leste
Ponto de apoio,A clínica fica embaixo da academia
Maps,https://maps.app.goo.gl/NHaCB431ct4LTpid7
Estacionamento,Estacionamento próprio e gratuito no local
Acessibilidade,Acesso completo para cadeirantes e pessoas com mobilidade reduzida
Acesso,Região de fácil acesso na rodovia
Horário de funcionamento,Segunda a sexta das 09:00 às 19:00
Almoço,Fechado das 12:00 às 13:00
Fim de semana,Não abre sábado nem domingo
Telefone principal,(43) 93511-4568
Instagram,@clinicascopelodontologia
