"Tópico","Informação"
"Especialidades","Implantes e Próteses, Ortodontia (Aparelhos), Lentes de Contato e Facetas, Harmonização Orofacial, Clínica Geral e Limpeza, Odontopediatria, Endodontia (Canal), Periodontia (Gengiva), Extração (Sisos)."
"Público-alvo","Público geral a partir de 1 ano de idade. Atende odontopediatria."
"Avaliação","Avaliação de cortesia (gratuita), sem compromisso. Duração de 60 minutos com o Dr. Daniel."
"Pagamento","Aceitamos à vista, débito, crédito, PIX e boleto. PIX tem 5% de desconto. As parcelas no crédito variam conforme o valor do tratamento."
"Convênios","Atendimento exclusivamente particular. Não aceita convênios."
"Sedação","Sedação intravenosa e sedação consciente disponíveis para pacientes com medo ou ansiedade."
"Experiência","6 anos de experiência clínica."
"Redes Sociais","@clinicavassoler.implantes"
"Contato","Fixo: (11) 2441-0998 | Leads: (11) 91213-3650 | Recepção: (11) 98843-4050"
"Atendimento Exclusivo Particular","Atendimento exclusivamente particular, sem convênios, garantindo dedicação total e qualidade em cada consulta."
