"Tópico","Informação"
"Tecnologia de Diagnóstico","Possuímos radiografia panorâmica e tomógrafo próprios, permitindo diagnósticos precisos sem sair da clínica."
"Infraestrutura Cirúrgica","Contamos com sala de cirurgia equipada e sala de descanso exclusiva para recuperação pós-cirúrgica."
"Anestesista Médico","Nossas cirurgias complexas contam com acompanhamento de médico anestesista, garantindo total segurança ao paciente."
"Reabilitações Complexas","Realizamos implante zigomático, All-on-4 e carga imediata, com entrega em até 7 dias ou em até 24 horas."
"Estacionamento","Estacionamento próprio com 5 vagas diretamente na frente da clínica."
"Atendimento Exclusivo Particular","Atendimento exclusivamente particular, sem convênios, garantindo dedicação total e qualidade em cada consulta."
"Especialidades","Implantes e Próteses, Ortodontia (Aparelhos), Lentes de Contato e Facetas, Clínica Geral e Limpeza, Endodontia (Canal), Periodontia (Gengiva), Extração (Sisos)."
"Público-alvo","Adultos a partir de 13 anos. Não realizamos atendimento odontopediátrico."
"Pagamento","Aceitamos todas as formas de pagamento."
"Contato Comercial","(47) 98913-1777 — Comercial. (47) 3278-2856 — Fixo. (47) 99929-7423 — Recepção."
