"Data","Feriado","Tipo"
"2026-01-01","Confraternização Universal","Nacional"
"2026-01-20","São Sebastião (padroeiro do Rio de Janeiro)","Municipal — Rio de Janeiro"
"2026-02-16","Segunda de Carnaval","Municipal — Rio de Janeiro"
"2026-02-17","Terça de Carnaval","Municipal — Rio de Janeiro"
"2026-02-18","Quarta de Cinzas (até meio-dia)","Municipal — Rio de Janeiro"
"2026-04-21","Tiradentes","Nacional"
"2026-04-23","São Jorge","Municipal — Rio de Janeiro"
"2026-05-01","Dia do Trabalho","Nacional"
"2026-09-07","Independência do Brasil","Nacional"
"2026-10-12","Nossa Senhora Aparecida","Nacional"
"2026-11-02","Finados","Nacional"
"2026-11-15","Proclamação da República","Nacional"
"2026-11-20","Consciência Negra","Municipal/Estadual — Rio de Janeiro"
"2026-12-25","Natal","Nacional"
