ID;Nome Fantasia;Razão Social;Tipo Documento;Documento;Ativo?;Status Configuração;WhatsApp;Telefone;Telefone Formatado;Email;Categoria;Nome Parceiro;Criado Em;Atualizado Em;Cidade;Estado
58e1700e-84e1-4d41-aaa9-2918925a3cef;IBS Implantes - Ila Flávia;IBS Odontologia Ltda;CNPJ;39940439000130;Sim;PRODUCTION;;+55|62995281322;(62) 99528-1322;gerencia.ibsimplantes@gmail.com;COMERCIO;[Contact.IA] POWER CURSOS;2024-09-02T19:21:20.264314Z;2026-06-03T13:57:54.4334Z;Goiânia;go
854e0d4b-41f2-444a-bb0c-c103e6c7c6f0;CONFIANCE ODONTO - WELLITON;CONFIANCE ODONTOLOGIA LTDA;CNPJ;39265576000116;Sim;PRODUCTION;;;;;COMERCIO;[Contact.IA] POWER CURSOS;2024-10-28T12:34:30.784491Z;2025-09-25T14:31:14.416853Z;Campo Belo;mg
ee8d94b6-dc8f-4d5f-bcf8-602dbf82f897;GM ESPACO CLINICO - ANDRE GOMIDE;BORGES & GOMIDE LTDA;CNPJ;15379406000102;Sim;PRODUCTION;;;;;COMERCIO;[Contact.IA] POWER CURSOS;2024-10-28T16:37:31.860223Z;2026-02-24T20:24:39.267636Z;Porangatu;go
b71f618e-3d67-49d0-9bd2-5236b37c7545;ATELIÊ OROFACIAL - DANIELA;Daniela Teixeira de Paula;CPF;08412056639;Sim;PRODUCTION;;;;;COMERCIO;[Contact.IA] POWER CURSOS;2024-11-05T03:03:13.971522Z;2026-02-24T20:01:02.397178Z;Guarulhos;sp
b08bc4e5-75b8-4fad-adef-b80c67de4511;INSTITUTO NERY - ITALO;Instituto Nery LTDA;CNPJ;42076957000161;Sim;PRODUCTION;;+55|69992332531;(69) 99233-2531;luharce2018@gmail.com;COMERCIO;[Contact.IA] POWER CURSOS;2024-11-11T11:59:40.133685Z;2026-06-09T17:54:05.057399Z;Ariquemes;ro
2522e03d-a63a-4782-83ca-64d649694077;ODONTO MORAES - REJANE;ODONTO MORAES CLINICA ODONTOLOGICA LTDA;CNPJ;29017923000138;Sim;PRODUCTION;;+55|62995408824;(62) 99540-8824;odontomoraesap@gmail.com;COMERCIO;[Contact.IA] POWER CURSOS;2024-11-13T16:06:17.015845Z;2026-06-03T12:31:26.030227Z;Aparecida de Goiânia;go
5bb3f6ab-31d4-49ff-8e4b-1bdd6637516a;ALFA ODONTOLOGIA - GABRIELA;ALFA ODONTOLOGIA ESPECIALIZADA LTDA;CNPJ;18916301000125;Sim;PRODUCTION;;+55|43999221204;(43) 99922-1204;alfaodontologia@hotmail.com;COMERCIO;[Contact.IA] POWER CURSOS;2024-11-22T13:44:10.869178Z;2026-05-12T20:25:56.137234Z;Londrina;pr
61e73a6a-aa05-4544-ae2a-d9d26d0da5c4;LUMINE ODONTOLOGIA - RODRIGO;R.T. Gomes & L.T. Gomes Ltda;CNPJ;15481413000102;Sim;PRODUCTION;;+55|54991598093;(54) 99159-8093;admodonto54@gmail.com;COMERCIO;[Contact.IA] POWER CURSOS;2024-12-16T04:22:42.401338Z;2026-06-08T17:58:50.19168Z;Flores da Cunha;rs
de88998c-4bf4-4698-ada1-fa74cef3d071;UNNO ODONTOLOGIA - DÉBORA;Unno Odontologia Digital Ltda.;CNPJ;13025201000195;Sim;PRODUCTION;;+55|32984179520;(32) 98417-9520;unnoodontologia@gmail.com;COMERCIO;[Contact.IA] POWER CURSOS;2024-12-16T04:23:00.302576Z;2026-06-16T12:37:03.788048Z;Três Rios;rj
2b2d4fa8-310c-406a-b465-862823f2f72e;LEAO MIRANDA ODONTOLOGIA - JOÃO;LEAO MIRANDA ODONTOLOGIA LTDA;CNPJ;41435921000164;Sim;PRODUCTION;;;;;COMERCIO;[Contact.IA] POWER CURSOS;2025-01-26T23:09:30.786502Z;2026-01-26T13:57:46.814932Z;Mogi das Cruzes;sp
