tipo,palavras_chave,resposta_comum_1,resposta_comum_2,acao_origem_e1,acao_origem_e2_e3_nao_concluido,acao_e3_concluido,fechamento_e3_concluido
Financeira,"tô sem dinheiro, é caro, não tenho grana, sem condição, quanto custa, valor, preço","Eu entendo completamente 😊","Mas a ideia de agora não é focar em pagamento, e sim em entender melhor a sua situação. O primeiro passo com o Dr. Rafael não tem custo nenhum pra você.","Retornar ao E1: 'Antes de pensar nisso — me conta, o que te trouxe até a gente hoje?'","Retornar ao ponto exato do SPIN (projeção E3). Não mencionar horários.","Avançar para E4 (verificar disponibilidade).","Vamos dar esse primeiro passo? Me diz uma preferência de horário e eu encaixo pra você."
Tempo,"tô sem tempo, minha rotina é corrida, não tenho disponibilidade, agenda cheia","A nossa rotina anda maluca mesmo, super entendo 😊","Mas pensa comigo: a avaliação é rápida e sem custo — e o Dr. Rafael se adapta ao seu horário.","Retornar ao E1: 'Antes de pensar em data — me conta, o que te trouxe até a gente hoje?'","Retornar ao ponto exato do SPIN (projeção E3). Não mencionar horários nem disponibilidade.","Avançar para E4 (verificar disponibilidade).","Se eu achasse um horário bem tranquilo, no fim do dia ou à sua escolha, te ajudava a se programar melhor?"
Terceiros,"preciso falar com marido, com esposa, com minha família, vou consultar meu marido","Ah, claro, não precisa decidir o tratamento sem falar com eles 😊","Mas a avaliação inicial é justamente pra vocês saberem o que realmente vai ser preciso fazer — e é sem custo.","Retornar ao E1: 'Antes de pensar nisso — me conta, o que te trouxe até a gente hoje?'","Retornar ao ponto exato do SPIN (projeção E3). Não falar em agendar.","Avançar para E4 (verificar disponibilidade).","Que tal deixar agendado? Você vem ouvir o Dr. Rafael e depois levanta as informações em casa com calma."
Distância,"é muito longe, fica longe pra mim, não conheço o bairro, Adrianópolis é longe","Olha, a nossa clínica fica no Adrianópolis, bem centralizada em Manaus 😊","Os pacientes dizem que compensa o trajeto porque saem com implantes e sorrisos renovados com segurança.","Retornar ao E1: 'Antes de pensar no trajeto — me conta, o que te trouxe até a gente hoje?'","Retornar ao ponto exato do SPIN (projeção E3). Não convidar para vir ainda.","Avançar para E4 (verificar disponibilidade).","Vem conhecer a gente — a avaliação com seu voucher já tá garantida!"
Localização,"onde fica, endereço, como chego, localização, mapa","Estamos na Avenida Jornalista Umberto Calderaro, 7 — Adrianópolis (antiga Paraíba) 📍","Fica do lado esquerdo da via, entre a Distribuidora Brasil e a Clínica PRAX. https://maps.app.goo.gl/pCbt37oJuhXL99RS9","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Posso te ajudar em mais alguma coisa? 😊"
Pagamento,"cartão, pix, boleto, parcelamento, como pagar, formas de pagamento","Aceitamos cartão de crédito e débito, PIX, boleto e também Crediário próprio em até 96x 😊","A gente sempre encontra um jeito de facilitar pra você.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Ficou alguma outra dúvida?"
Convênio,"convênio, plano de saúde, aceita plano, tem cobertura, plano odontológico","Aqui no Prime trabalhamos exclusivamente com particular 😊","Mas temos formas de pagamento bem facilitadas — parcelamos em até 96x no Crediário.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Ficou alguma outra dúvida?"
Procedimento,"vai doer, tenho medo, quanto tempo leva, é doloroso, anestesia, processo","Essa é uma ótima pergunta — e merece uma resposta caprichada! 😊","O Dr. Rafael explica tudo com detalhes na avaliação, e com o seu voucher ela é sem custo.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Ficou alguma outra dúvida?"
Preço do Tratamento,"quanto custa o implante, valor da prótese, preço do protocolo, quanto fica, orçamento","O valor depende do seu caso específico 😊","Por isso a avaliação é tão importante — o Dr. Rafael monta um plano personalizado pra você. E o primeiro passo é sem custo com o seu voucher.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Dúvida informativa — retornar ao ponto exato do SPIN onde estava. Não oferecer horários.","Ficou alguma outra dúvida?"
Rispidez,"tom agressivo, grosseiro, impaciente, rude, sem resposta, ignorando","Entendo, [primeiro nome] 🙌","Vou acionar nossa equipe para que possam te atender e resolver qualquer questão.","Executar transferir_humano imediatamente.","Executar transferir_humano imediatamente.","Executar transferir_humano imediatamente.",""
Irredutível,"não quero mais, não tenho interesse, deixa pra lá, vou pensar, não vou","Entendo, [primeiro nome] 💙","Fique à vontade para pensar com calma e avaliar o que é melhor para você agora.","Executar Salvar_Contexto e concluir_atendimento.","Executar Salvar_Contexto e concluir_atendimento.","Executar Salvar_Contexto e concluir_atendimento.","Quando se sentir pronto para dar o próximo passo, é só me chamar — estarei sempre por aqui ✨"
