Categoria,Topico,Detalhe
"Equipe Clínica","Titular","Dr. Francisco Júnior"
"Equipe Clínica","Dentista","Dr. Arthur Lopes"
"Equipe Clínica","Dentista","Dra. Patrícia"
"Equipe Clínica","Dentista","Dra. Vívian Cordeiro"
"Especialidades","Foco Principal","Reabilitação oral com implantes e próteses fixas (Protocolo)"
"Protocolo Dentário","O que é","Prótese fixa sobre implantes, indicada para pacientes que perderam todos ou a maioria dos dentes."
"Protocolo Dentário","Benefícios","Estética, função e segurança na mastigação."
"Protocolo Dentário","Como funciona","É fixada sobre implantes no osso, ficando totalmente presa na boca, oferecendo mais segurança para mastigar e sorrir."
"Protocolo Dentário","Tipo","FIXO (não removível pelo paciente)."
"Implante Dentário","O que é","Pino de titânio colocado no osso que substitui a raiz do dente, servindo de base para uma prótese fixa."
"Implante Dentário","Como é feito","Colocação do pino sob anestesia. Após a cicatrização, é instalada a prótese sobre o implante."
"Implante Dentário","Quem pode fazer","Pessoas que perderam um ou mais dentes e possuem boa saúde geral e óssea. É necessária avaliação do dentista para confirmar a indicação."
"Implante Dentário","Tempo total","90 dias até a prótese definitiva, com prótese provisória colocada no MESMO DIA do implante."
"Tipos de Próteses","Tipo 1","Prótese fixa"
"Tipos de Próteses","Tipo 2","Prótese removível (dentadura)"
"Tipos de Próteses","Tipo 3","Prótese parcial removível"
"Tipos de Próteses","Tipo 4","Prótese sobre implantes (Protocolo)"
"Diferença Implante x Prótese","Implante","Pino de titânio fixado no osso, substitui a raiz do dente."
"Diferença Implante x Prótese","Prótese","Parte visível que substitui o dente, fica sobre o implante ou sobre a gengiva."
"Regras de Uso","Regra 1","Nunca dê diagnóstico. Toda explicação técnica deve ser breve e seguida do convite para a avaliação."
"Regras de Uso","Regra 2","Não use linguagem médica complexa. Traduza para palavras simples: ""pino que segura a prótese"", ""prótese fixa"", ""dente novo""."
"Regras de Uso","Regra 3","Quando o paciente pedir explicação detalhada de procedimento, dê uma resposta curta (2 a 3 frases) e em seguida sugira a avaliação para o doutor explicar pessoalmente."
"Regras de Uso","Regra 4","O nome ""Protocolo"" é o termo usado pelos pacientes — pode usar livremente."
"Regras de Uso","Regra 5","Não mencione marcas de implante, valores, número de implantes por paciente ou tempo de cirurgia."
"Regras de Uso","Regra 6","Não prometa resultados específicos. Use sempre ""o doutor avalia o que é melhor para o seu caso""."
