"Tópico","Informação"
"Tecnologia de Diagnóstico","Não possuímos radiografia panorâmica própria. Orientamos os pacientes a realizarem o exame em clínicas de radiologia parceiras mais próximas antes da consulta, para que a avaliação presencial com o Dr. Pedro seja mais completa."
"Infraestrutura e Unidades","Temos duas unidades em Imperatriz/MA. Ambas contam com estrutura moderna para reabilitações completas, próteses e implantes."
"Anestesista Médico","Cirurgias complexas de implantes são planejadas para oferecer total conforto e segurança, com acompanhamento conforme o caso."
"Reabilitações Complexas","Mais de 12 anos de experiência do Dr. Pedro Valença devolvendo a liberdade de sorrir e mastigar, com mais de 9 mil implantes realizados."
"Atendimento Exclusivo Particular","Atendimento exclusivamente particular, sem convênios, garantindo atendimento humanizado e focado na necessidade do paciente."
"Especialidades","Próteses, Implantes, Avaliações de Reabilitação Oral, Clínica Geral e Estética Dental."
"Público-alvo","Adultos a partir de 13 anos. Não realizamos atendimento odontopediátrico."
"Pagamento","Cartão de crédito em até 4x sem juros ou até 12x com juros, débito, PIX, boleto, dinheiro ou parcelamento próprio. Desconto de até 10% para pagamento à vista (PIX, dinheiro ou débito)."
"Responsável Técnico","Dr. Pedro Valença — Dono e dentista responsável."
"Contato Comercial","(99) 98199-8694 — Recepção e agendamentos."
"Redes Sociais","Instagram: @drpedrovalenca"
