id,categoria,subcategoria,unidade,titulo,conteudo
1,sobre_a_clinica,descricao,ambas,Sobre a Prime Dente,"A Prime Dente é uma clínica odontológica com 15 anos de atuação no Rio de Janeiro. Especializada em reabilitação oral e estética dental, com foco em dois grandes carros-chefe: implantes/protocolo e Invisalign. Possui duas unidades: Méier (Zona Norte) e Botafogo (Zona Sul)."
2,localizacao,endereco,meier,Endereço Méier,"Rua Dias da Cruz, 532/101 — Méier, Rio de Janeiro/RJ. CEP 20720-013. Referência: Em frente à Caixa Econômica Federal. Parceria com estacionamento."
3,localizacao,endereco,botafogo,Endereço Botafogo,"Rua Dona Mariana, 125 — Botafogo, Rio de Janeiro/RJ. CEP 22280-020. Zona Sul do Rio de Janeiro."
4,localizacao,horarios,ambas,Horários de Atendimento,"Segunda a Sexta: 09:00 às 19:00. Sábado e Domingo: Fechado. Sem intervalo de almoço. Atendimento somente por agendamento. Encaixes apenas em casos de emergência."
5,localizacao,contato,ambas,Contato e Redes Sociais,"Telefone: (21) 99991-5601. Instagram: @prime_dente."
6,equipe,dentista,ambas,Dr. Thiago H. Q. Menezes,"Especialidade principal: Implantodontia e Reabilitação Oral. Atendimento: Segundas e quintas (sem fallback)."
7,equipe,dentista,ambas,Dra. Lorraine Ribeiro Mendes,"Especialidade principal: Invisalign e Estética Dental. Atendimento: Terças, quartas e sextas (primária) — Dr. Thiago como fallback."
8,equipe,regra,ambas,Regra de Nomeação do Profissional,"O nome do profissional que atenderá o paciente é definido automaticamente pelo sistema conforme o horário agendado. Sophia nunca cita um nome específico antes de verificar a disponibilidade — sempre usa o campo nome_profissional_sugerido retornado pelo sistema."
9,especialidades,implantes,ambas,Implantes e Protocolo (All on 4 / All on 6),"Reposição de dentes perdidos com implantes de titânio. A Prime Dente é referência em reabilitação oral completa. Indicado para pacientes com dentes perdidos que buscam solução definitiva e funcional."
10,especialidades,invisalign,ambas,Invisalign,"Alinhador transparente e removível para correção de dentes tortos ou desalinhados. Tratamento discreto — ninguém percebe que você está em tratamento. Scanner iTero disponível: o paciente já sai da avaliação visualizando como vai ficar o sorriso."
11,especialidades,aparelho_fixo,ambas,Aparelho Fixo (Ortodontia),"A clínica trabalha com aparelho fixo em duas versões: Metálico (opção mais robusta e econômica) e De Safira/Cerâmica (estético, discreto e transparente — menos visível que o metálico). Quando o paciente perguntar sobre aparelho fixo, Sophia informa que a clínica oferece essas opções e redireciona para a avaliação."
12,especialidades,proteses,ambas,Próteses e Restaurações,"Coroas, pontes, lentes de contato dental e restaurações em resina."
13,especialidades,clareamento,ambas,Clareamento Dental,"Clareamento a laser e caseiro com moldeiras personalizadas."
14,especialidades,periodontia,ambas,Periodontia,"Tratamento de gengiva — gengivite, periodontite e estética gengival."
15,especialidades,endodontia,ambas,Endodontia,"Tratamento de canal com tecnologia de rotação mecanizada."
16,diferenciais,geral,ambas,Diferenciais da Clínica,"15 anos de história no Rio de Janeiro. Dois dentistas especializados atendendo de segunda a sexta. Scanner iTero oficial do Invisalign. Avaliação como Cortesia da clínica — sem compromisso. Parcelamento personalizado conforme o caso."
17,diferenciais,localizacao,meier,Diferenciais de Localização Méier,"Localização central no Méier. Em frente à Caixa Econômica Federal. Parceria com estacionamento."
18,diferenciais,localizacao,botafogo,Diferenciais de Localização Botafogo,"Localização na Zona Sul do Rio de Janeiro. Bairro de Botafogo — área nobre e de fácil acesso."
19,pagamento,formas,ambas,Formas de Pagamento,"Cartão de crédito (parcelado conforme o plano de tratamento). Débito. PIX. Boleto. Dinheiro. Valores de procedimentos nunca são informados pelo chat — Sophia redireciona sempre para a avaliação (Cortesia da clínica) onde o plano completo é apresentado."
20,pagamento,convenios,ambas,Convênios,"A Prime Dente trabalha exclusivamente com atendimento particular. Não aceita nenhum convênio ou plano odontológico."
21,publico_alvo,adultos,ambas,Público-alvo Adulto,"Adultos de 18 a 65 anos que buscam solução para dentes perdidos, sorriso desalinhado ou estética dental. Valorizam qualidade, conforto e resultado visível. Geralmente já tentaram outras opções ou estão buscando uma clínica de confiança."
22,publico_alvo,infantil,ambas,Público-alvo Infantil,"Crianças a partir de 6 anos: atendimento com Consulta Pediátrica Especial (R$ 200,00 descontado do procedimento). Responsável obrigatório. Executar tag_paciente_infantil. Crianças abaixo de 6 anos: transferência imediata para a Fernanda via transferir_atendimento."
23,avaliacao,cortesia,ambas,Avaliação — Cortesia da Clínica,"A avaliação é uma Cortesia da Prime Dente para o paciente. Usar sempre o termo Cortesia — nunca gratuita, nunca grátis, nunca sem custo. Argumento padrão: A avaliação é uma Cortesia da clínica para você — você vem, conversa com nossa equipe e já sai com um plano completo."
24,avaliacao,campanha,ambas,Campanha Solidária,"Se o paciente trouxer 1kg de alimento não perecível, a avaliação é uma Cortesia reforçada. A clínica valoriza o gesto solidário. Sophia menciona a campanha como diferencial humano da clínica, não como condição."
25,regras_internas,unidade,ambas,Regra de Seleção de Unidade,"Sophia NUNCA assume ou infere a unidade com base em menções feitas por ela mesma durante o atendimento. A unidade_selecionada só é definida por: resposta direta do paciente OU retorno de Ler_Contexto. verificar_disponibilidade só pode ser executado após unidade_selecionada estar definida."
