Tópico,Informação
Endereço,"Rua Rosa Fernandes da Silva, 355 – Nova Esperança, Parnamirim/RN"
Referência,"Na mesma rua da UPA de Parnamirim, ao lado do Posto Quality – Nova Esperança"
Estacionamento,Estacionamento gratuito
Bairro,Nova Esperança
Cidade,Parnamirim
Estado,RN
Instagram,@oralconceitonovaesperança
Telefone CRC,"84 99991-3901"
Horário Segunda,08:00 – 17:00 (almoço 12:00 – 13:00) — avaliação disponível
Horário Quarta,08:00 – 17:00 (almoço 12:00 – 13:00) — avaliação disponível
Horário Quinta,08:00 – 17:00 (almoço 12:00 – 13:00) — avaliação disponível
Horário Sexta,08:00 – 17:00 (almoço 12:00 – 13:00) — avaliação disponível
Horário Sábado,08:00 – 12:00 (sem almoço) — clínica aberta para outros atendimentos, SEM avaliação
Terça-feira,Fechado (sem avaliação)
Domingo,Fechado
