id,data,nome,tipo,regra
1,01/01,Confraternização Universal,Nacional,Clínica fechada — nunca oferecer essa data para agendamento
2,21/04,Tiradentes,Nacional,Verificar junto à clínica — tratar como possível fechamento
3,01/05,Dia do Trabalhador,Nacional,BLOQUEIO INEGOCIÁVEL — clínica fechada. Nunca oferecer essa data em hipótese alguma
4,07/09,Independência do Brasil,Nacional,Verificar junto à clínica — tratar como possível fechamento
5,12/10,Nossa Senhora Aparecida,Nacional,Verificar junto à clínica — tratar como possível fechamento
6,02/11,Finados,Nacional,Verificar junto à clínica — tratar como possível fechamento
7,15/11,Proclamação da República,Nacional,Verificar junto à clínica — tratar como possível fechamento
8,25/12,Natal,Nacional,Clínica fechada — nunca oferecer essa data para agendamento
9,variavel,Sexta-Feira Santa,Nacional,Verificar junto à clínica — tratar como possível fechamento
10,variavel,Carnaval (segunda e terça),Nacional,Verificar junto à clínica — tratar como possível fechamento
11,variavel,Corpus Christi,Nacional,Verificar junto à clínica — tratar como possível fechamento
