Data,Feriado,Tipo
2026-01-01,Confraternização Universal,Nacional - clínica fechada
2026-02-16,Carnaval (segunda),Facultativo - confirmar com a clínica antes de oferecer
2026-02-17,Carnaval (terça),Nacional - clínica fechada
2026-02-18,Quarta-feira de Cinzas,Facultativo - clínica abre a partir das 13:00 se confirmado
2026-04-03,Sexta-feira Santa,Nacional - clínica fechada
2026-04-21,Tiradentes,Nacional - clínica fechada
2026-05-01,Dia do Trabalho,Nacional - clínica fechada
2026-06-04,Corpus Christi,Nacional - clínica fechada
2026-09-07,Independência do Brasil,Nacional - clínica fechada
2026-10-12,Nossa Senhora Aparecida,Nacional - clínica fechada
2026-11-02,Finados,Nacional - clínica fechada
2026-11-15,Proclamação da República,Nacional - domingo, clínica já fechada
2026-11-20,Dia Nacional de Zumbi e da Consciência Negra,Nacional - clínica fechada
2026-12-19,Emancipação Política do Paraná,Estadual PR - sábado, clínica já fechada
2026-12-24,Véspera de Natal,Facultativo - confirmar horário com a clínica
2026-12-25,Natal,Nacional - clínica fechada
2026-12-31,Véspera de Ano Novo,Facultativo - confirmar horário com a clínica
2027-01-01,Confraternização Universal,Nacional - clínica fechada
2027-02-08,Carnaval (segunda),Facultativo - confirmar com a clínica antes de oferecer
2027-02-09,Carnaval (terça),Nacional - clínica fechada
2027-03-26,Sexta-feira Santa,Nacional - clínica fechada
2027-04-21,Tiradentes,Nacional - clínica fechada
A CONFIRMAR,Aniversário de Pontal do Paraná,Municipal - PENDENTE: data não confirmada no briefing, confirmar com a clínica
A CONFIRMAR,Padroeira do município,Municipal - PENDENTE: data não confirmada no briefing, confirmar com a clínica
