id,categoria,subcategoria,unidade,titulo,conteudo
1,sobre_a_clinica,descricao,meier,Sobre a Prime Dente Méier,"A Prime Dente Méier é uma clínica odontológica com 11 anos de atuação no Rio de Janeiro. Especializada em reabilitação oral e estética dental, com foco em dois grandes carros-chefe: implantes/protocolo e Invisalign. Esta unidade fica no Méier (Zona Norte). A clínica também possui uma unidade em Botafogo (Zona Sul), atendida por um canal próprio."
2,localizacao,endereco,meier,Endereço Méier,"Rua Dias da Cruz, 532/101 — Méier, Rio de Janeiro/RJ. CEP 20720-013. Referência: Em frente à Caixa Econômica Federal. Parceria com estacionamento."
4,localizacao,horarios,meier,Horários de Atendimento,"Segunda a Sexta: 09:00 às 19:00. Sábado e Domingo: Fechado. Sem intervalo de almoço. Atendimento somente por agendamento. Encaixes apenas em casos de emergência."
5,localizacao,contato,meier,Contato e Redes Sociais,"Telefone: (21) 99991-5601. Instagram: @prime_dente."
6,equipe,dentista,meier,Dr. Thiago H. Q. Menezes,"Especialidade principal: Implantodontia e Reabilitação Oral. Atendimento: Segundas e quintas (sem fallback)."
7,equipe,dentista,meier,Dra. Lorraine Ribeiro Mendes,"Especialidade principal: Invisalign e Estética Dental. Atendimento: Terças, quartas e sextas (primária) — Dr. Thiago como fallback."
8,equipe,regra,meier,Regra de Nomeação do Profissional,"O nome do profissional que atenderá o paciente é definido automaticamente pelo sistema conforme o horário agendado. Sophia nunca cita um nome específico antes de verificar a disponibilidade — sempre usa o campo nome_profissional_sugerido retornado pelo sistema."
9,especialidades,implantes,meier,Implantes e Protocolo (All on 4 / All on 6),"Reposição de dentes perdidos com implantes de titânio. A Prime Dente é referência em reabilitação oral completa. Indicado para pacientes com dentes perdidos que buscam solução definitiva e funcional."
10,especialidades,invisalign,meier,Invisalign,"Alinhador transparente e removível para correção de dentes tortos ou desalinhados. Tratamento discreto — ninguém percebe que você está em tratamento. Scanner iTero disponível: o paciente já sai da avaliação visualizando como vai ficar o sorriso."
11,especialidades,aparelho_fixo,meier,Aparelho Fixo (Ortodontia),"A clínica trabalha com aparelho fixo em duas versões: Metálico (opção mais robusta e econômica) e De Safira/Cerâmica (estético, discreto e transparente — menos visível que o metálico). Quando o paciente perguntar sobre aparelho fixo, Sophia informa que a clínica oferece essas opções e redireciona para a avaliação."
12,especialidades,proteses,meier,Próteses e Restaurações,"Coroas, pontes, lentes de contato dental e restaurações em resina."
13,especialidades,clareamento,meier,Clareamento Dental,"Clareamento a laser e caseiro com moldeiras personalizadas."
14,especialidades,periodontia,meier,Periodontia,"Tratamento de gengiva — gengivite, periodontite e estética gengival."
15,especialidades,endodontia,meier,Endodontia,"Tratamento de canal com tecnologia de rotação mecanizada."
