Tópico,Informação
Nome da clínica,Oral Concept
Unidade,Tirol – Ed. Manhattan Business
Cidade,Natal/RN
Anos de experiência,4 anos
Propósito,"Devolver confiança, autoestima e qualidade de vida através de sorrisos planejados com precisão"
Missão,"Entregar uma odontologia moderna, segura e previsível, onde o paciente não busca apenas um tratamento, mas uma transformação de vida"
Identidade,"Clínica sofisticada, tecnológica e acolhedora. O paciente sente segurança, confiança, exclusividade e inovação"
Filosofia,"Ouvir antes de indicar, explicar antes de executar, planejar antes de tratar, entregar excelência em cada detalhe"
Foco em especialidades,"Implantes dentários, reabilitação oral, estética dental, facetas, próteses, tratamentos personalizados"
Scanner intraoral,"Substitui moldagens tradicionais. Mais conforto, maior precisão, visualização digital do sorriso, planejamento moderno"
Tomografia computadorizada,"Imagens 3D para planejamento de implantes, avaliação óssea, cirurgias e tratamentos complexos. Maior segurança"
Avaliação,Cortesia da clínica — horário exclusivo com o dentista responsável para análise personalizada do caso
Dentista,Dr. Agrício (referir como "dentista responsável" antes do agendamento)
Formas de pagamento,"Cartão de crédito até 12x, débito, PIX, boleto e dinheiro. PIX e dinheiro: 5% de desconto"
Convênios,Não aceita convênios odontológicos
Público alvo,"Pacientes que buscam qualidade, segurança, tecnologia, confiança e resultado"
Perfil do paciente,"Valoriza atendimento profissional, quer resolver o problema com quem entende"
Experiência de atendimento,"Ambiente organizado, sofisticado, música ambiente, equipe preparada, comunicação humanizada"
Idade mínima,15 anos
Encaixes,Somente emergência
Frase de marca,Não vendemos procedimentos. Entregamos transformação.
