"Data","Feriado","Tipo"
"2026-01-01","Confraternização Universal","Nacional"
"2026-02-16","Carnaval (segunda)","Nacional"
"2026-02-17","Carnaval (terça)","Nacional"
"2026-02-18","Quarta de Cinzas (até meio-dia)","Nacional"
"2026-04-03","Sexta-Feira Santa","Nacional"
"2026-04-21","Tiradentes","Nacional"
"2026-05-01","Dia do Trabalho","Nacional"
"2026-06-04","Corpus Christi","Nacional"
"2026-08-15","Assunção de Nossa Senhora","Natal/RN (Municipal)"
"2026-09-07","Independência do Brasil","Nacional"
"2026-10-12","Nossa Senhora Aparecida","Nacional"
"2026-11-02","Finados","Nacional"
"2026-11-15","Proclamação da República","Nacional"
"2026-12-08","Imaculada Conceição","Natal/RN (Municipal)"
"2026-12-25","Natal","Nacional"
