data,dia_semana,tipo,descricao,funcionamento
"01/01/2026","Quinta","Nacional","Confraternização Universal","FECHADO"
"14/01/2026","Quarta","Municipal","Fundação de Campinas","FECHADO"
"17/02/2026","Terça","Nacional","Carnaval","FECHADO"
"18/02/2026","Quarta","Nacional","Quarta-Feira de Cinzas (meio feriado)","VERIFICAR"
"03/04/2026","Sexta","Nacional","Sexta-Feira Santa (Paixão de Cristo)","FECHADO"
"05/04/2026","Domingo","Nacional","Páscoa","FECHADO (domingo)"
"21/04/2026","Terça","Nacional","Tiradentes","FECHADO"
"01/05/2026","Sexta","Nacional","Dia do Trabalho","FECHADO"
"04/06/2026","Quinta","Nacional","Corpus Christi","FECHADO"
"09/07/2026","Quinta","Estadual","Revolução Constitucionalista (SP)","FECHADO"
"07/09/2026","Segunda","Nacional","Independência do Brasil","FECHADO"
"12/10/2026","Segunda","Nacional","Nossa Senhora Aparecida","FECHADO"
"02/11/2026","Segunda","Nacional","Finados","FECHADO"
"15/11/2026","Domingo","Nacional","Proclamação da República","FECHADO (domingo)"
"20/11/2026","Sexta","Nacional","Consciência Negra","FECHADO"
"25/12/2026","Sexta","Nacional","Natal","FECHADO"
